Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create Movie,20000,2,1,27,0.85,0.000%,401.59030,88.02,106.67,224.4
TOTAL,20000,2,1,27,0.85,0.000%,401.59030,88.02,106.67,224.4
