Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Create Movie,20000,2002,3,15748,1511.60,0.000%,396.31428,86.87,105.27,224.4
TOTAL,20000,2002,3,15748,1511.60,0.000%,396.31428,86.87,105.27,224.4
