Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get All Movies,20000,1840,0,9040,1013.07,12.850%,217.09634,1812.16,22.36,8547.6
Get A Movie,20000,1821,0,10719,1018.99,12.935%,217.12698,112.67,23.34,531.4
TOTAL,40000,1831,0,10719,1016.08,12.893%,434.17382,1924.74,45.69,4539.5
